dc (V),value(Gm "Vtun" -0.4),value(Gm "Vtun" -0.3),value(Gm "Vtun" -0.2),value(Gm "Vtun" -0.1),value(Gm "Vtun" -2.775558e-17),value(Gm "Vtun" 0.1),value(Gm "Vtun" 0.2),value(Gm "Vtun" 0.3)
-1.090,185.9E-9,185.4E-9,179.0E-9,158.7E-9,134.3E-9,110.1E-9,86.71E-9,64.08E-9
-1.080,185.9E-9,185.4E-9,179.0E-9,158.7E-9,134.2E-9,110.1E-9,86.70E-9,64.07E-9
-1.070,185.8E-9,185.3E-9,179.0E-9,158.6E-9,134.2E-9,110.0E-9,86.68E-9,64.06E-9
-1.060,185.8E-9,185.3E-9,178.9E-9,158.6E-9,134.2E-9,110.0E-9,86.66E-9,64.05E-9
-1.050,185.7E-9,185.2E-9,178.9E-9,158.6E-9,134.2E-9,110.0E-9,86.64E-9,64.04E-9
-1.040,185.7E-9,185.2E-9,178.9E-9,158.6E-9,134.1E-9,110.0E-9,86.63E-9,64.02E-9
-1.030,185.6E-9,185.2E-9,178.8E-9,158.5E-9,134.1E-9,110.0E-9,86.61E-9,64.01E-9
-1.020,185.6E-9,185.1E-9,178.8E-9,158.5E-9,134.1E-9,109.9E-9,86.59E-9,64.00E-9
-1.010,185.5E-9,185.1E-9,178.8E-9,158.5E-9,134.1E-9,109.9E-9,86.58E-9,63.99E-9
-1.000,185.5E-9,185.0E-9,178.7E-9,158.4E-9,134.0E-9,109.9E-9,86.56E-9,63.98E-9
-990.0E-3,185.4E-9,185.0E-9,178.7E-9,158.4E-9,134.0E-9,109.9E-9,86.54E-9,63.97E-9
-980.0E-3,185.4E-9,185.0E-9,178.7E-9,158.4E-9,134.0E-9,109.9E-9,86.53E-9,63.96E-9
-970.0E-3,185.4E-9,184.9E-9,178.6E-9,158.3E-9,134.0E-9,109.8E-9,86.51E-9,63.94E-9
