freq (Hz),value(ganho "Vtun" 0.0) (dB)
1.778E3,-6.128
1.820E3,-6.132
1.862E3,-6.135
1.905E3,-6.139
1.950E3,-6.143
1.995E3,-6.147
2.042E3,-6.151
2.089E3,-6.155
2.138E3,-6.160
2.188E3,-6.164
2.239E3,-6.169
2.291E3,-6.174
2.344E3,-6.180
2.399E3,-6.185
2.455E3,-6.191
2.512E3,-6.197
2.570E3,-6.203
2.630E3,-6.210
2.692E3,-6.217
2.754E3,-6.224
2.818E3,-6.231
2.884E3,-6.239
2.951E3,-6.247
3.020E3,-6.255
3.090E3,-6.263
3.162E3,-6.272
3.236E3,-6.281
3.311E3,-6.291
3.388E3,-6.301
3.467E3,-6.311
3.548E3,-6.322
3.631E3,-6.333
3.715E3,-6.344
3.802E3,-6.355
3.890E3,-6.367
3.981E3,-6.380
4.074E3,-6.393
4.169E3,-6.406
4.266E3,-6.419
4.365E3,-6.433
4.467E3,-6.448
4.571E3,-6.462
4.677E3,-6.477
4.786E3,-6.493
4.898E3,-6.508
5.012E3,-6.524
5.129E3,-6.541
5.248E3,-6.557
5.370E3,-6.574
5.495E3,-6.591
5.623E3,-6.608
5.754E3,-6.626
5.888E3,-6.644
6.026E3,-6.661
6.166E3,-6.679
6.310E3,-6.697
6.457E3,-6.714
6.607E3,-6.732
6.761E3,-6.749
6.918E3,-6.766
7.079E3,-6.782
7.244E3,-6.798
7.413E3,-6.813
7.586E3,-6.828
7.762E3,-6.842
7.943E3,-6.854
8.128E3,-6.866
8.318E3,-6.876
8.511E3,-6.885
8.710E3,-6.892
8.913E3,-6.898
9.120E3,-6.901
9.333E3,-6.902
9.550E3,-6.900
9.772E3,-6.896
10.00E3,-6.889
10.23E3,-6.878
10.47E3,-6.864
10.72E3,-6.846
10.96E3,-6.824
11.22E3,-6.798
11.48E3,-6.767
11.75E3,-6.732
12.02E3,-6.691
12.30E3,-6.645
12.59E3,-6.595
12.88E3,-6.539
13.18E3,-6.478
13.49E3,-6.413
13.80E3,-6.344
14.13E3,-6.273
14.45E3,-6.201
14.79E3,-6.130
15.14E3,-6.063
15.49E3,-6.004
15.85E3,-5.958
16.22E3,-5.930
16.60E3,-5.927
16.98E3,-5.959
17.38E3,-6.033
17.78E3,-6.159
18.20E3,-6.345
18.62E3,-6.598
19.05E3,-6.924
19.50E3,-7.322
19.95E3,-7.793
20.42E3,-8.329
20.89E3,-8.925
21.38E3,-9.571
21.88E3,-10.26
22.39E3,-10.98
22.91E3,-11.72
23.44E3,-12.48
23.99E3,-13.26
24.55E3,-14.04
25.12E3,-14.82
25.70E3,-15.60
26.30E3,-16.38
26.92E3,-17.15
27.54E3,-17.93
28.18E3,-18.69
28.84E3,-19.45
29.51E3,-20.20
30.20E3,-20.95
30.90E3,-21.69
31.62E3,-22.42
32.36E3,-23.15
33.11E3,-23.87
33.88E3,-24.59
34.67E3,-25.30
35.48E3,-26.00
36.31E3,-26.70
37.15E3,-27.39
38.02E3,-28.08
38.90E3,-28.77
39.81E3,-29.45
40.74E3,-30.13
41.69E3,-30.80
42.66E3,-31.47
43.65E3,-32.13
44.67E3,-32.80
45.71E3,-33.45
46.77E3,-34.11
47.86E3,-34.76
48.98E3,-35.42
50.12E3,-36.06
51.29E3,-36.71
52.48E3,-37.35
53.70E3,-37.99
54.95E3,-38.63
56.23E3,-39.27
57.54E3,-39.91
58.88E3,-40.54
60.26E3,-41.17
61.66E3,-41.81
63.10E3,-42.44
64.57E3,-43.06
66.07E3,-43.69
67.61E3,-44.32
69.18E3,-44.94
70.79E3,-45.56
72.44E3,-46.18
74.13E3,-46.81
75.86E3,-47.43
77.62E3,-48.04
79.43E3,-48.66
81.28E3,-49.28
83.18E3,-49.90
85.11E3,-50.51
87.10E3,-51.13
89.13E3,-51.74
91.20E3,-52.35
93.33E3,-52.97
95.50E3,-53.58
97.72E3,-54.19
100.0E3,-54.80
102.3E3,-55.41
104.7E3,-56.02
107.2E3,-56.63
109.6E3,-57.24
112.2E3,-57.85
114.8E3,-58.46
117.5E3,-59.07
120.2E3,-59.67
123.0E3,-60.28
125.9E3,-60.89
128.8E3,-61.50
131.8E3,-62.10
134.9E3,-62.71
138.0E3,-63.31
141.3E3,-63.92
144.5E3,-64.52
147.9E3,-65.13
151.4E3,-65.73
154.9E3,-66.34
158.5E3,-66.94
162.2E3,-67.55
166.0E3,-68.15
169.8E3,-68.75
173.8E3,-69.36
177.8E3,-69.96
182.0E3,-70.56
186.2E3,-71.17
190.5E3,-71.77
195.0E3,-72.37
199.5E3,-72.97
204.2E3,-73.58
208.9E3,-74.18
213.8E3,-74.78
218.8E3,-75.38
223.9E3,-75.98
229.1E3,-76.59
234.4E3,-77.19
239.9E3,-77.79
245.5E3,-78.39
251.2E3,-78.99
257.0E3,-79.59
263.0E3,-80.19
269.2E3,-80.80
275.4E3,-81.40
281.8E3,-82.00
288.4E3,-82.60
295.1E3,-83.20
302.0E3,-83.80
309.0E3,-84.40
316.2E3,-85.00
323.6E3,-85.60
331.1E3,-86.20
338.8E3,-86.80
346.7E3,-87.40
354.8E3,-88.00
363.1E3,-88.60
371.5E3,-89.20
380.2E3,-89.80
389.0E3,-90.40
398.1E3,-91.00
407.4E3,-91.60
416.9E3,-92.20
426.6E3,-92.80
436.5E3,-93.39
446.7E3,-93.99
457.1E3,-94.59
467.7E3,-95.19
478.6E3,-95.79
489.8E3,-96.39
501.2E3,-96.99
512.9E3,-97.59
